חודש חישוב,סמל מוטב,שם מוטב,סמל מוסד,שם מוסד,תאור תפקיד,שיוך תפקיד,ספטמבר,אוקטובר,נובמבר,דצמבר,ינואר,פברואר,מרץ,אפריל,מאי,יוני,יולי,אוגיסט
3/2026,10406544,עירית כפר קרע,348029,חט"ב אבן סינא,ספרן,סל חט"ב,     .68,     .68,     .68,     .68,     .68,     .68,     .68,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348284,חט"ב כפר קרע ב',רכז חינוך חברתי,סל חט"ב,     .23,     .23,     .23,     .23,     .23,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,פסיכולוג,כללי,    6.16,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,פסיכולוג,כללי,    6.16,    6.16,    6.16,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,פסיכולוג,כללי,    6.16,    6.16,    6.16,    6.16,    6.16,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,פסיכולוג,כללי,    2.50,    2.50,    2.50,    2.50,    2.50,    2.50,    2.50,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,פסיכולוג,כללי,    2.50,    2.50,    2.50,    2.50,    2.50,    2.50,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,קצין ביקור סדיר ראשי,כללי,    1.50,    1.50,    1.50,    1.50,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע, ,רשותי,קצין ביקור סדיר ראשי,כללי,    1.50,    1.50,    1.00,    2.00,    2.00,    2.00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,348029,חט"ב אבן סינא,עובד מינהל,סל חט"ב,    4.15,    4.15,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318188,אלמוסתקבל,מזכיר/ה,כללי,     .21,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
